TANK_ID,TRACK_MILES,ENGINE_HOURS,MAIN_GUN_ROUNDS,FIRE_CONTROL_SYSTEM_FAULTS,ELECTRICAL_SYSTEM_FAULTS,POWERTRAIN_FAILURES,HYDRAULIC_SYSTEM_FAILURES,ROADWHEEL_ARM_WEAR,TRACK_LINK_WEAR,TORSION_BAR_DEGRADATION,EXTREME_COLD_MILES,EXTREME_HEAT_MILES,TERRAIN_SEVERE_MILES,UP_ARMOR_LOAD_HOURS,COMBAT_OPERATIONS_COUNT,IDLE_HOURS,TURRET_SLEW_CYCLES,FAULT_CODES_ACCUMULATED,TRANSMISSION_TEMP_EVENTS,FUEL_EFFICIENCY_DEGRADATION
TANK042,1074.3,976.2,1148.1,1340.4,518.0,548.8,995.4,1055.1,335.7,489.4,343.4,343.7,130.2,179.8,117.2,720.0,541.1,401.5,91.9,91.9
TANK043,2133.5,986.4,777.4,1151.9,781.0,265.3,1134.3,1336.2,631.3,287.9,343.6,168.2,81.3,108.4,110.9,427.7,451.1,269.6,69.2,133.5
TANK044,1896.8,978.3,1002.5,924.0,683.4,465.2,1091.0,1273.6,747.4,451.1,262.7,87.3,283.1,92.7,68.2,402.0,369.2,267.8,73.9,66.5
TANK045,2079.5,1361.5,1197.0,1314.7,656.4,411.2,1068.0,1001.1,488.1,556.0,253.5,177.8,239.4,175.0,168.0,589.3,438.6,335.9,40.6,98.0
TANK046,1391.7,1519.5,471.1,845.8,322.2,494.8,1057.1,1458.1,574.5,261.0,124.5,156.4,245.5,125.3,152.8,526.9,365.8,248.6,77.7,95.3
TANK047,818.5,1000.1,770.5,946.1,436.5,234.5,1061.0,618.7,521.8,207.6,301.6,214.8,220.5,55.3,175.9,402.4,421.1,265.0,53.1,139.1
TANK048,1101.9,742.1,1180.5,1125.3,393.5,294.7,417.8,971.0,296.8,176.9,142.4,272.7,306.7,186.7,93.9,713.3,247.3,196.3,94.6,144.1
TANK049,2197.6,1354.8,1135.4,1254.0,240.5,330.9,1115.4,823.3,339.5,177.6,137.7,172.2,108.7,73.4,115.5,644.3,527.1,302.6,81.4,101.1
TANK050,1183.0,1282.5,759.4,829.7,737.5,497.9,495.4,1361.6,659.8,387.7,412.9,260.0,79.6,55.5,213.4,560.6,384.6,417.7,82.6,70.0
TANK051,770.5,689.1,777.2,1101.3,369.0,315.5,428.1,1350.8,704.2,396.2,326.9,133.0,175.3,102.7,159.4,562.3,551.6,310.4,61.4,65.9
TANK052,2107.5,1314.4,497.9,619.4,496.0,239.7,761.9,1042.0,557.5,621.8,197.1,309.5,189.4,110.0,124.5,765.6,353.6,228.7,75.0,82.2
TANK053,1829.2,975.6,935.8,842.6,674.9,276.7,705.9,892.8,292.9,236.8,264.5,140.4,83.8,144.3,116.5,834.0,232.8,443.0,68.8,119.5
TANK054,886.6,1558.6,402.4,1065.0,637.6,202.3,1078.3,1407.1,553.8,317.0,287.1,368.5,109.8,151.6,179.1,515.6,341.1,186.1,59.3,138.8
TANK055,829.5,967.7,855.0,697.4,487.1,447.3,1036.1,1308.0,461.4,471.1,318.9,302.6,191.4,140.9,203.5,403.1,510.9,223.6,49.6,144.9
TANK056,867.7,1589.4,1034.2,1427.4,430.8,513.9,1124.3,1183.3,504.8,639.2,122.2,277.3,85.8,154.4,205.3,526.8,390.3,329.5,26.4,39.7
TANK057,1954.7,1220.5,528.8,840.0,344.4,375.2,570.8,917.0,301.9,381.2,315.7,313.5,195.5,91.9,97.8,330.0,252.0,259.7,81.2,42.5
TANK058,1152.4,703.6,1090.5,1025.3,523.7,214.7,409.2,676.7,726.3,203.1,274.2,237.2,177.1,65.9,149.5,553.8,498.1,461.8,77.4,37.8
TANK059,762.4,1267.6,591.7,1366.8,471.6,423.2,1035.5,1383.3,303.2,515.5,119.4,366.3,291.7,123.8,90.7,509.4,499.2,240.3,30.4,100.0
TANK060,1067.3,570.0,924.7,630.9,758.5,466.8,487.9,858.7,305.2,534.0,272.5,180.2,236.6,126.7,94.8,753.6,298.2,191.3,58.9,51.3
TANK061,1500.9,942.8,1192.1,827.9,267.1,297.8,458.8,933.6,709.1,423.2,277.3,351.9,138.3,113.6,159.8,781.4,237.7,207.7,71.3,84.1
TANK062,874.1,973.5,971.5,1285.8,225.6,322.8,409.5,1420.6,307.5,203.8,217.6,188.6,274.2,123.7,115.3,673.0,516.6,213.4,24.8,42.7
TANK063,998.7,1730.7,833.2,1317.3,688.8,473.9,830.8,1450.0,368.2,357.7,206.6,376.8,246.1,95.0,149.7,699.1,489.3,451.6,84.2,137.1
TANK064,1072.6,617.7,848.8,958.3,286.7,157.1,1194.8,1353.2,480.4,254.0,228.3,295.3,112.1,158.5,105.7,833.0,492.6,285.6,67.3,101.3
TANK065,2040.1,697.8,1065.8,850.9,328.6,157.0,1149.4,1165.6,658.1,410.2,161.7,283.6,91.9,161.1,97.6,457.5,516.6,420.1,43.0,41.1
TANK066,2032.4,1181.8,766.5,871.8,532.4,358.2,1158.8,1137.3,708.0,245.2,233.1,294.2,177.9,122.0,125.3,691.4,232.7,251.2,75.7,114.4
TANK067,722.0,1669.0,540.3,1133.0,408.0,331.7,461.2,939.3,480.8,318.6,300.6,190.4,217.2,132.9,184.3,324.2,462.0,390.2,29.5,88.7
TANK068,1331.1,798.4,804.1,855.6,672.2,525.5,531.4,1583.0,462.8,649.6,200.1,306.6,69.4,67.9,218.7,771.1,353.5,345.2,40.4,126.3
TANK069,2125.9,1412.7,1105.9,1062.7,519.6,156.9,780.4,1549.3,493.6,389.3,280.3,96.4,121.4,46.4,89.1,536.2,371.0,373.6,55.6,74.1
TANK070,1221.3,658.1,411.2,826.3,753.9,213.2,403.9,1083.1,380.8,379.1,412.9,224.1,188.0,127.2,198.9,714.6,566.1,201.8,33.3,102.2
TANK071,867.7,1515.8,1036.1,537.0,626.4,152.5,444.7,923.7,513.5,474.6,379.9,159.6,121.8,140.9,64.9,473.8,521.8,366.1,61.1,139.7
TANK072,1922.5,1143.4,711.8,1070.0,462.4,217.1,427.6,719.7,284.6,385.3,298.3,265.2,213.8,176.1,83.3,441.1,382.3,483.0,56.9,76.4
TANK073,1181.7,553.9,1093.6,1107.8,553.1,534.1,1163.4,1444.5,725.7,409.6,382.7,144.8,243.4,58.5,71.7,377.6,233.5,413.1,45.7,50.9
TANK074,1914.4,1007.8,548.3,545.5,674.7,188.4,754.5,1295.5,302.6,413.9,160.9,378.5,221.6,197.8,178.9,775.1,461.4,417.0,46.7,138.5
TANK075,1354.5,1749.0,436.1,988.7,658.6,374.4,616.6,1457.6,693.2,196.8,144.1,353.4,255.8,82.0,94.0,318.8,343.0,395.3,74.5,62.8
TANK076,1235.4,588.8,906.0,1298.5,365.0,394.6,1012.8,1407.2,743.5,654.2,330.1,308.2,82.0,89.4,115.6,315.3,442.4,215.3,86.7,73.8
TANK077,1710.1,812.8,676.0,1326.7,342.8,302.4,766.1,948.6,444.8,215.0,420.4,357.6,209.4,121.8,175.6,772.2,318.4,267.9,34.4,64.7
TANK078,842.2,1083.8,999.0,548.1,524.2,158.4,918.2,1241.0,638.0,286.2,412.3,311.4,267.7,88.8,78.2,438.3,245.6,458.5,28.3,144.5
TANK079,1505.3,1124.9,1122.9,662.9,594.5,492.7,488.9,1060.9,463.3,484.3,245.4,373.3,202.1,96.7,96.8,809.8,420.7,395.7,69.8,42.6
TANK080,1893.9,1519.8,1103.5,758.2,290.6,212.1,617.9,937.6,297.7,667.8,181.1,171.2,194.3,84.3,128.0,605.6,465.9,193.6,65.6,142.1
TANK081,1411.9,908.3,801.0,563.5,329.5,513.3,633.0,1514.6,335.0,583.8,110.3,376.1,214.8,164.2,97.0,714.0,329.0,297.1,91.6,61.2
TANK082,984.9,1561.1,829.7,1178.4,380.8,244.8,1088.8,1340.0,481.8,239.3,101.7,128.6,237.7,181.8,169.8,443.3,244.4,384.6,68.5,73.2
TANK083,1023.7,1123.3,1019.1,704.9,335.9,330.7,1075.0,1415.6,287.6,320.2,241.8,279.9,222.7,52.7,119.5,545.7,484.3,238.2,34.2,43.6
TANK084,1668.2,1437.6,735.0,1261.1,800.0,363.0,529.7,1228.0,586.8,474.5,370.3,284.2,133.0,121.0,130.7,553.5,585.0,441.9,75.3,96.9
TANK085,1665.1,1369.7,924.0,1151.8,803.3,544.9,833.8,656.4,327.7,210.3,100.5,209.6,171.7,77.7,79.0,695.8,306.4,233.8,77.3,83.8
TANK086,2073.0,1573.3,934.8,807.7,669.3,524.9,1126.5,1145.9,695.1,624.9,200.1,248.2,220.8,112.2,116.6,320.8,290.4,324.8,24.2,104.4
TANK087,999.7,1581.2,1028.3,784.2,445.8,212.1,1042.2,758.8,683.9,307.3,246.4,128.9,102.1,153.4,127.2,380.2,380.7,259.3,38.2,123.0
